2026-03-24 22:50:11,657 [UNIFIED] ============================================================
2026-03-24 22:50:11,659 [UNIFIED] Luca Unified Startup
2026-03-24 22:50:11,659 [UNIFIED] Time: 2026-03-24T22:50:11.659827
2026-03-24 22:50:11,659 [UNIFIED] Boot delay: 10s
2026-03-24 22:50:11,660 [UNIFIED] ============================================================
2026-03-24 22:50:21,660 [UNIFIED] --- Phase 1: Memory Server ---
2026-03-24 22:50:21,668 [UNIFIED] Memory server already running on port 5050
2026-03-24 22:50:21,668 [UNIFIED] Waiting for memory server on port 5050...
2026-03-24 22:50:21,694 [UNIFIED] Memory server ready (waited 0s)
2026-03-24 22:50:21,695 [UNIFIED] --- Phase 2: Telegram Bot ---
2026-03-24 22:50:21,695 [UNIFIED] Starting telegram bot: C:\Users\sunjo\Desktop\luca 연구자동화에이전트\telegram_bot.py
2026-03-24 22:50:21,787 [UNIFIED] Telegram bot started (PID: 124996)
2026-03-24 22:50:21,787 [UNIFIED] --- Phase 3: Watchdog Active ---
2026-03-25 06:05:25,963 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:10:26,021 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:15:26,062 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:20:26,120 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:25:26,193 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:30:26,264 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:35:26,340 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:40:26,413 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:45:26,494 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:50:26,544 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:55:26,621 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:00:26,699 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:05:26,718 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:10:26,793 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:15:26,834 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:20:26,855 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:25:26,886 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:30:26,960 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:35:27,031 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:40:27,114 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:45:27,148 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:50:27,185 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 07:55:27,236 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:00:27,291 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:05:27,335 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:10:27,428 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:15:27,502 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:20:27,562 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:25:27,611 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:30:27,656 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:35:27,702 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:40:27,755 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:45:27,836 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:50:27,904 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 08:55:27,986 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:00:28,037 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:05:28,088 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:10:28,153 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:15:28,223 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:20:28,241 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:25:28,298 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:30:28,365 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:35:28,395 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:40:28,512 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:45:28,577 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:50:28,623 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 09:55:28,695 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:00:28,752 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:05:28,805 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:10:28,891 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:15:28,909 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:20:28,946 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:25:29,050 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:30:29,080 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:35:29,116 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:40:29,169 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:45:29,187 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:50:29,227 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 10:55:29,262 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:00:29,281 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:05:29,357 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:10:29,405 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:15:29,457 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:20:29,477 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:25:29,547 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:30:29,598 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:35:29,692 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:40:29,729 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:45:29,776 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:50:29,814 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 11:55:29,867 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:00:29,896 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:05:29,915 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:10:29,967 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:15:29,999 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:20:00,070 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:25:00,148 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:30:00,164 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:35:00,263 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:40:00,325 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:45:00,353 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:50:00,373 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 12:55:00,426 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:00:00,486 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:05:00,527 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:10:00,547 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:15:00,588 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:20:00,640 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:25:00,695 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:30:00,748 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:35:00,815 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:40:00,844 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:45:00,903 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:50:00,943 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 13:55:01,052 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:00:01,110 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:05:01,155 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:10:01,207 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:15:01,257 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:20:01,307 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:25:01,349 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:30:01,440 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:35:01,519 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:40:01,608 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:45:01,666 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:50:01,708 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 14:55:01,789 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:00:01,857 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:05:01,921 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:10:02,031 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:15:02,076 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:20:02,143 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:25:02,187 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:30:02,230 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:35:02,247 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:40:02,284 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:45:02,369 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:50:02,452 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 15:55:02,498 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:00:02,540 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:05:02,586 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:10:02,683 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:15:02,730 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:20:02,773 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:25:02,804 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:30:02,897 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:35:02,942 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:40:02,988 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:45:03,008 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:50:03,121 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 16:55:03,166 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:00:03,245 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:05:03,278 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:10:03,339 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:15:03,369 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:20:03,423 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:25:03,486 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:30:03,541 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:35:03,575 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:40:03,645 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:45:03,664 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:50:03,740 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 17:55:03,841 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:00:03,878 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:05:03,908 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:10:04,009 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:15:04,067 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:20:04,086 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:25:04,131 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:30:04,182 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:35:04,238 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:40:04,314 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:45:04,397 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:50:04,449 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 18:55:04,491 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:00:04,557 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:05:04,628 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:10:04,690 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:15:04,778 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:20:04,807 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:25:04,845 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:30:04,928 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:35:04,969 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:40:05,042 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:45:05,094 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:50:05,216 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 19:55:05,286 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:00:05,325 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:05:05,377 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:10:05,437 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:15:05,468 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:20:05,490 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:25:05,546 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:30:05,589 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:35:05,671 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:40:05,752 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:45:05,774 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:50:05,827 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 20:55:05,846 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:00:05,865 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:05:05,883 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:10:05,902 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:15:05,968 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:20:06,041 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:25:06,092 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:30:06,179 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:35:06,255 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:40:06,347 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:45:06,431 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 21:50:06,461 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
